Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
5500,1.0,354.194,204.001,273.57,169.226,13.082,14.642,12.723,0.222,1.697,230.853,40.423,0.837,0.921,0.008,713.337,14.775,16.252,0.139,63.822,2959.799
5600,1.0,351.739,206.271,276.613,172.205,13.312,14.59,12.635,0.226,1.73,232.333,41.134,0.852,0.937,0.008,717.908,14.869,16.356,0.139,62.817,2949.6
5700,1.0,349.457,208.592,279.726,175.18,13.542,14.545,12.553,0.229,1.763,233.717,41.845,0.867,0.953,0.008,722.185,14.958,16.454,0.14,61.826,2939.538
5800,1.0,347.125,210.835,282.734,178.152,13.772,14.499,12.469,0.233,1.797,235.153,42.555,0.881,0.97,0.008,726.622,15.05,16.555,0.141,60.85,2929.598
5900,1.0,344.551,212.879,285.476,181.12,14.001,14.444,12.376,0.236,1.832,236.774,43.264,0.896,0.986,0.008,731.633,15.154,16.669,0.142,59.89,2919.778
6000,1.0,342.134,214.969,288.278,184.085,14.23,14.396,12.289,0.24,1.867,238.311,43.972,0.911,1.002,0.009,736.381,15.252,16.777,0.143,58.945,2910.072
6100,1.0,339.672,216.979,290.974,187.046,14.459,14.347,12.201,0.243,1.902,239.901,44.679,0.925,1.018,0.009,741.295,15.354,16.889,0.144,58.015,2900.498
6200,1.0,337.164,218.908,293.56,190.004,14.688,14.297,12.111,0.247,1.939,241.548,45.386,0.94,1.034,0.009,746.382,15.459,17.005,0.145,57.1,2891.04
6300,1.0,334.446,220.645,295.89,192.958,14.916,14.239,12.013,0.25,1.976,243.372,46.091,0.955,1.05,0.009,752.018,15.576,17.133,0.146,56.202,2881.721
6400,1.0,331.861,222.415,298.264,195.908,15.144,14.188,11.92,0.254,2.013,245.127,46.796,0.969,1.066,0.009,757.443,15.688,17.257,0.147,55.318,2872.52
6500,1.0,329.236,224.104,300.528,198.856,15.372,14.135,11.826,0.257,2.051,246.94,47.5,0.984,1.082,0.009,763.045,15.804,17.385,0.148,54.449,2863.479
6600,1.0,326.414,225.601,302.536,201.799,15.6,14.076,11.725,0.261,2.09,248.932,48.203,0.998,1.098,0.009,769.2,15.932,17.525,0.149,53.596,2854.58
6700,1.0,323.717,227.127,304.582,204.74,15.827,14.022,11.628,0.264,2.129,250.863,48.906,1.013,1.114,0.009,775.166,16.055,17.661,0.151,52.758,2845.82
6800,1.0,320.978,228.567,306.513,207.676,16.054,13.967,11.53,0.268,2.169,252.858,49.607,1.027,1.13,0.01,781.33,16.183,17.801,0.152,51.934,2837.181
6900,1.0,318.204,229.923,308.332,210.61,16.281,13.911,11.43,0.271,2.21,254.916,50.308,1.042,1.146,0.01,787.691,16.315,17.946,0.153,51.126,2828.684
7000,1.0,315.258,231.096,309.905,213.539,16.507,13.85,11.324,0.275,2.251,257.151,51.008,1.056,1.162,0.01,794.596,16.458,18.103,0.154,50.331,2820.314
