Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (ϕ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,KnockIdx max@RPM,η_ind (%),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc)
3600,1.0,180.363,67.995,91.183,109.778,8.117,7.964,6.479,0.156,1.33,429.8,25.082,0.455,0.597,0.005,1328.0,24.07,31.63,0.26,47.87,2096.9,,,,,,,,,,,,,,,,
3700,1.0,182.151,70.577,94.645,113.216,8.417,8.062,6.543,0.159,1.359,429.3,26.009,0.48,0.616,0.005,1326.7,24.47,31.43,0.26,48.417,2110.3,,,,,,,,,,,,,,,,
3800,1.0,184.957,73.601,98.7,116.631,8.719,8.197,6.644,0.163,1.39,426.5,26.941,0.506,0.635,0.005,1317.8,24.73,31.05,0.26,48.951,2123.6,,,,,,,,,,,,,,,,
3900,1.0,186.48,76.16,102.132,120.019,9.022,8.286,6.698,0.166,1.421,426.4,27.877,0.532,0.653,0.005,1317.7,25.16,30.87,0.26,49.473,2136.9,,,,,,,,,,,,,,,,
4000,1.0,189.164,79.237,106.258,123.424,9.329,8.418,6.795,0.17,1.453,423.9,28.827,0.56,0.672,0.006,1309.7,25.43,30.52,0.25,49.998,2150.4,,,,,,,,,,,,,,,,
4100,1.0,189.414,81.325,109.059,126.653,9.594,8.464,6.804,0.174,1.486,424.7,29.647,0.58,0.689,0.006,1312.4,25.65,30.51,0.25,50.338,2159.3,,,,,,,,,,,,,,,,
4200,1.0,190.82,83.927,112.548,129.889,9.862,8.551,6.854,0.177,1.52,423.0,30.472,0.6,0.707,0.006,1307.1,25.72,30.32,0.25,50.679,2168.0,,,,,,,,,,,,,,,,
4300,1.0,190.82,85.925,115.228,133.057,10.125,8.589,6.854,0.18,1.555,424.2,31.285,0.62,0.724,0.006,1310.8,25.96,30.34,0.25,50.991,2176.7,,,,,,,,,,,,,,,,
4400,1.0,191.799,88.375,118.512,136.151,10.383,8.663,6.889,0.184,1.59,423.0,32.085,0.64,0.741,0.006,1307.0,26.06,30.18,0.25,51.275,2185.4,,,,,,,,,,,,,,,,
4500,1.0,191.548,90.265,121.047,139.246,10.643,8.694,6.88,0.187,1.626,424.5,32.888,0.66,0.758,0.006,1311.6,26.32,30.22,0.25,51.558,2194.0,,,,,,,,,,,,,,,,
4600,1.0,192.283,92.625,124.212,142.259,10.898,8.761,6.907,0.191,1.663,423.6,33.675,0.68,0.774,0.007,1308.8,26.43,30.09,0.25,51.814,2202.6,,,,,,,,,,,,,,,,
4700,1.0,191.779,94.39,126.58,145.27,11.154,8.784,6.889,0.194,1.701,425.4,34.465,0.7,0.791,0.007,1314.5,26.72,30.15,0.26,52.071,2211.1,,,,,,,,,,,,,,,,
4800,1.0,192.461,96.742,129.733,148.277,11.41,8.851,6.913,0.198,1.739,424.6,35.258,0.721,0.807,0.007,1312.1,26.84,30.03,0.25,52.327,2219.7,,,,,,,,,,,,,,,,
4900,1.0,191.895,98.466,132.046,151.28,11.668,8.873,6.893,0.202,1.779,426.6,36.054,0.742,0.823,0.007,1318.2,27.13,30.1,0.26,52.582,2228.2,,,,,,,,,,,,,,,,
5000,1.0,192.526,100.806,135.184,154.28,11.926,8.94,6.916,0.205,1.819,425.9,36.852,0.763,0.84,0.007,1316.1,27.26,29.98,0.26,52.837,2236.6,,,,,,,,,,,,,,,,
5100,1.0,191.363,102.202,137.054,157.276,12.158,8.942,6.874,0.208,1.86,428.3,37.568,0.778,0.856,0.007,1323.3,27.41,30.15,0.26,53.007,2241.7,,,,,,,,,,,,,,,,
5200,1.0,191.4,104.226,139.769,160.269,12.389,8.989,6.875,0.212,1.902,427.9,38.283,0.793,0.872,0.007,1322.3,27.39,30.13,0.26,53.175,2246.9,,,,,,,,,,,,,,,,
5300,1.0,190.172,105.548,141.543,163.258,12.62,8.991,6.831,0.215,1.945,430.5,38.997,0.808,0.888,0.008,1330.1,27.55,30.3,0.26,53.345,2252.0,,,,,,,,,,,,,,,,
5400,1.0,190.15,107.527,144.197,166.244,12.851,9.037,6.83,0.219,1.988,430.3,39.71,0.822,0.905,0.008,1329.5,27.54,30.29,0.26,53.514,2256.9,,,,,,,,,,,,,,,,
5500,1.0,188.858,108.774,145.869,169.226,13.082,9.039,6.784,0.222,2.032,433.0,40.423,0.837,0.921,0.008,1337.8,27.71,30.48,0.26,53.681,2261.9,,,,,,,,,,,,,,,,
5600,1.0,188.778,110.705,148.458,172.205,13.312,9.084,6.781,0.226,2.077,432.9,41.134,0.852,0.937,0.008,1337.6,27.71,30.48,0.26,53.846,2266.8,,,,,,,,,,,,,,,,
5700,1.0,187.424,111.874,150.025,175.18,13.542,9.085,6.732,0.229,2.123,435.8,41.845,0.867,0.953,0.008,1346.5,27.89,30.68,0.26,54.01,2271.7,,,,,,,,,,,,,,,,
5800,1.0,187.288,113.754,152.546,178.152,13.772,9.13,6.727,0.233,2.17,435.8,42.555,0.881,0.97,0.008,1346.7,27.89,30.68,0.26,54.172,2276.4,,,,,,,,,,,,,,,,
5900,1.0,185.873,114.841,154.004,181.12,14.001,9.131,6.677,0.236,2.218,438.9,43.264,0.896,0.986,0.008,1356.2,28.09,30.9,0.26,54.333,2281.2,,,,,,,,,,,,,,,,
6000,1.0,185.68,116.666,156.452,184.085,14.23,9.176,6.67,0.24,2.266,439.1,43.972,0.911,1.002,0.009,1356.9,28.1,30.91,0.26,54.495,2286.0,,,,,,,,,,,,,,,,
6100,1.0,184.206,117.669,157.797,187.046,14.459,9.175,6.617,0.243,2.315,442.4,44.679,0.925,1.018,0.009,1366.9,28.31,31.14,0.27,54.656,2290.7,,,,,,,,,,,,,,,,
6200,1.0,182.701,118.621,159.073,190.004,14.688,9.175,6.563,0.247,2.365,445.8,45.386,0.94,1.034,0.009,1377.4,28.53,31.38,0.27,54.816,2295.3,,,,,,,,,,,,,,,,
6300,1.0,182.427,120.353,161.396,192.958,14.916,9.219,6.553,0.25,2.416,446.2,46.091,0.955,1.05,0.009,1378.7,28.56,31.41,0.27,54.973,2299.9,,,,,,,,,,,,,,,,
6400,1.0,180.863,121.216,162.553,195.908,15.144,9.218,6.497,0.254,2.467,449.8,46.796,0.969,1.066,0.009,1389.8,28.79,31.66,0.27,55.129,2304.5,,,,,,,,,,,,,,,,
6500,1.0,180.536,122.887,164.794,198.856,15.372,9.262,6.485,0.257,2.52,450.3,47.5,0.984,1.082,0.009,1391.5,28.82,31.7,0.27,55.282,2309.0,,,,,,,,,,,,,,,,
6600,1.0,178.916,123.658,165.828,201.799,15.6,9.26,6.427,0.261,2.573,454.2,48.203,0.998,1.098,0.009,1403.3,29.07,31.97,0.27,55.439,2313.4,,,,,,,,,,,,,,,,
6700,1.0,178.536,125.265,167.983,204.74,15.827,9.304,6.413,0.264,2.627,454.9,48.906,1.013,1.114,0.009,1405.5,29.11,32.02,0.27,55.594,2318.0,,,,,,,,,,,,,,,,
6800,1.0,176.859,125.94,168.889,207.676,16.054,9.302,6.353,0.268,2.682,458.9,49.607,1.027,1.13,0.01,1418.0,29.37,32.31,0.28,55.747,2322.4,,,,,,,,,,,,,,,,
6900,1.0,176.429,127.481,170.955,210.61,16.281,9.346,6.337,0.271,2.737,459.8,50.308,1.042,1.146,0.01,1420.7,29.42,32.37,0.28,55.898,2326.8,,,,,,,,,,,,,,,,
7000,1.0,174.696,128.059,171.73,213.539,16.507,9.344,6.275,0.275,2.794,464.1,51.008,1.056,1.162,0.01,1433.9,29.7,32.67,0.28,56.048,2331.1,,,,,,,,,,,,,,,,
