Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
6100,1.0,334.375,213.595,286.436,187.046,14.459,14.569,12.011,0.243,2.315,243.702,44.679,0.925,1.018,0.009,753.038,15.597,17.157,0.146,63.159,2955.976
6200,1.0,331.72,215.373,288.821,190.004,14.688,14.527,11.915,0.247,2.365,245.512,45.386,0.94,1.034,0.009,758.631,15.713,17.284,0.147,62.329,2947.652
6300,1.0,329.03,217.073,291.099,192.958,14.916,14.485,11.819,0.25,2.416,247.377,46.091,0.955,1.05,0.009,764.395,15.832,17.415,0.148,61.513,2939.409
6400,1.0,326.509,218.828,293.454,195.908,15.144,14.449,11.728,0.254,2.467,249.145,46.796,0.969,1.066,0.009,769.858,15.945,17.54,0.149,60.711,2931.247
6500,1.0,323.748,220.368,295.519,198.856,15.372,14.406,11.629,0.257,2.52,251.126,47.5,0.984,1.082,0.009,775.979,16.072,17.679,0.151,59.921,2923.228
6600,1.0,320.953,221.827,297.475,201.799,15.6,14.362,11.529,0.261,2.573,253.168,48.203,0.998,1.098,0.009,782.288,16.203,17.823,0.152,59.143,2915.326
6700,1.0,318.124,223.203,299.32,204.74,15.827,14.318,11.427,0.264,2.627,255.273,48.906,1.013,1.114,0.009,788.793,16.337,17.971,0.153,58.377,2907.502
6800,1.0,315.262,224.496,301.055,207.676,16.054,14.274,11.324,0.268,2.682,257.442,49.607,1.027,1.13,0.01,795.497,16.476,18.124,0.154,57.623,2899.761
6900,1.0,312.546,225.835,302.85,210.61,16.281,14.235,11.227,0.271,2.737,259.531,50.308,1.042,1.146,0.01,801.951,16.61,18.271,0.156,56.88,2892.193
7000,1.0,309.618,226.962,304.361,213.539,16.507,14.19,11.122,0.275,2.794,261.835,51.008,1.056,1.162,0.01,809.069,16.757,18.433,0.157,56.153,2884.714
