Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
5300,1.0,61.858,34.332,46.04,163.258,12.62,4.382,2.222,0.215,1.945,1323.362,38.997,0.808,0.888,0.008,4089.19,84.695,93.165,0.794,41.578,1653.623
5400,1.0,61.892,34.999,46.935,166.244,12.851,4.43,2.223,0.219,1.988,1321.875,39.71,0.822,0.905,0.008,4084.595,84.6,93.06,0.793,41.728,1658.544
5500,1.0,60.421,34.8,46.667,169.226,13.082,4.425,2.17,0.222,2.032,1353.296,40.423,0.837,0.921,0.008,4181.684,86.611,95.272,0.812,41.88,1663.539
5600,1.0,60.417,35.43,47.513,172.205,13.312,4.474,2.17,0.226,2.077,1352.607,41.134,0.852,0.937,0.008,4179.556,86.567,95.224,0.812,42.03,1668.453
5700,1.0,58.886,35.149,47.136,175.18,13.542,4.468,2.115,0.229,2.123,1386.982,41.845,0.867,0.953,0.008,4285.776,88.767,97.644,0.832,42.179,1673.285
5800,1.0,58.845,35.741,47.93,178.152,13.772,4.517,2.114,0.233,2.17,1387.148,42.555,0.881,0.97,0.008,4286.289,88.778,97.655,0.832,42.327,1678.037
5900,1.0,57.256,35.375,47.439,181.12,14.001,4.511,2.057,0.236,2.218,1424.841,43.264,0.896,0.986,0.008,4402.757,91.19,100.309,0.855,42.473,1682.843
6000,1.0,57.18,35.927,48.179,184.085,14.23,4.56,2.054,0.24,2.266,1425.931,43.972,0.911,1.002,0.009,4406.128,91.26,100.386,0.856,42.617,1687.614
6100,1.0,55.533,35.474,47.571,187.046,14.459,4.553,1.995,0.243,2.315,1467.379,44.679,0.925,1.018,0.009,4534.202,93.912,103.303,0.88,42.76,1692.308
6200,1.0,53.857,34.968,46.892,190.004,14.688,4.546,1.935,0.247,2.365,1512.161,45.386,0.94,1.034,0.009,4672.578,96.778,106.456,0.907,42.904,1696.925
6300,1.0,53.718,35.44,47.525,192.958,14.916,4.596,1.93,0.25,2.416,1515.22,46.091,0.955,1.05,0.009,4682.029,96.974,106.671,0.909,43.048,1701.534
6400,1.0,51.987,34.842,46.723,195.908,15.144,4.589,1.867,0.254,2.467,1564.791,46.796,0.969,1.066,0.009,4835.204,100.147,110.161,0.939,43.19,1706.181
6500,1.0,51.813,35.268,47.296,198.856,15.372,4.638,1.861,0.257,2.52,1569.121,47.5,0.984,1.082,0.009,4848.582,100.424,110.466,0.941,43.331,1710.753
6600,1.0,50.027,34.576,46.367,201.799,15.6,4.631,1.797,0.261,2.573,1624.237,48.203,0.998,1.098,0.009,5018.894,103.951,114.346,0.975,43.471,1715.253
6700,1.0,49.821,34.955,46.876,204.74,15.827,4.681,1.79,0.264,2.627,1630.019,48.906,1.013,1.114,0.009,5036.759,104.321,114.753,0.978,43.609,1719.678
6800,1.0,47.979,34.166,45.817,207.676,16.054,4.673,1.723,0.268,2.682,1691.614,49.607,1.027,1.13,0.01,5227.088,108.263,119.09,1.015,43.746,1724.204
6900,1.0,47.741,34.496,46.26,210.61,16.281,4.724,1.715,0.271,2.737,1699.075,50.308,1.042,1.146,0.01,5250.143,108.741,119.615,1.019,43.882,1728.671
7000,1.0,45.845,33.606,45.067,213.539,16.507,4.715,1.647,0.275,2.794,1768.317,51.008,1.056,1.162,0.01,5464.098,113.172,124.489,1.061,44.02,1733.065
