Engine Speed (RPM),Throttle,Torque (Nm),Power (kW),Horsepower,CO2(g/s),CO(g/s),NOx(g/s),HC(g/s)
4300,1.0,329.00522261385504,148.14938928441182,198.6715693769771,37.480383656350945,693.8116327324509,886.914450793651,254.72105397520062
4400,1.0,328.97447998003804,151.5805587301588,203.2728426044774,38.4361257936508,716.4792380952382,907.5403682539686,261.2163888888889
4500,1.0,328.93045356692744,155.00482447017268,207.86485781168386,39.39606899529043,739.473139717425,928.1662857142859,267.74027472527473
4600,1.0,328.6705712958204,158.32418800923017,212.3161968743867,40.3373956021607,762.3637227075029,948.2551509841271,274.13764001468434
4700,1.0,328.39655628467153,161.63115269447076,216.75090880309875,41.28188270461474,785.5581563208241,968.3206661587301,280.5564844002943
4800,1.0,328.10842564761145,164.9252831352718,221.16840972947807,42.22955127939318,809.0580698187948,988.3628312380954,286.9969504424779
4900,1.0,327.8061966505588,168.20614473577243,225.56811685097549,43.180422489283075,832.8651069130327,1008.3816462222223,293.4591819660015
5000,1.0,327.4898867129069,171.47330370370366,229.9494484426762,44.13451768518518,856.9809259259257,1028.3771111111112,299.94332407407404
5100,1.0,327.15951340923374,174.72632705933822,234.3118238693016,45.091858408208715,881.4071999533352,1048.349225904762,306.44952316258343
5200,1.0,326.81509447103224,177.96478264455783,238.65466359736865,46.05246639179421,906.1456170294782,1068.2979906031746,312.9779269345238
5300,1.0,326.45664778846685,181.18823913204432,242.9773892075155,47.01636356386492,931.1978802940235,1088.2234052063493,319.52868441461595
5400,1.0,326.084191412152,184.39626603459322,247.27942340699104,47.983572049007044,956.5657081614348,1108.1254697142858,326.10194596412555
5500,1.0,325.6977435549545,187.5884337145532,251.5601900423135,48.954114170679496,982.2508344925982,1128.004184126984,332.6978632958801
5600,1.0,325.29732259382155,190.7643133933934,255.81911411210055,49.92801245345344,1008.2550087687684,1147.8595484444443,339.3165894894894
5700,1.0,324.88294707163175,193.92347716139957,260.0556217800718,50.905289625282165,1034.5799962678707,1167.6915626666666,345.958279006772
5800,1.0,324.4546356990724,197.06549798750265,264.2691403882294,51.88596861980176,1061.2275782431943,1187.5002267936504,352.62308770739054
5900,1.0,324.01240735654284,200.18994972924085,268.45909847021704,52.8700725786632,1088.199552104524,1207.2855408253965,359.31117286470135
6000,1.0,323.55628109608205,203.29640714285708,272.6249257648613,53.85762485389609,1115.4977316017312,1227.0475047619045,366.02269318181806
6100,1.0,322.25265205178465,205.85193473809528,276.0519441304751,54.72399298982684,1133.4419260028858,1246.7861186031748,371.91063196969696
6200,1.0,320.9323117384624,208.36930919047617,279.4277982975408,55.589336242316,1151.3648930447328,1266.501382349206,377.79160553030295
6300,1.0,319.59526015611544,210.8480054999999,282.7517842295828,56.45365461136361,1169.266632727272,1286.1932959999992,383.66561386363617
6400,1.0,318.2414973047439,213.28749866666652,286.0231978901254,57.316948096969675,1187.1471450505044,1305.8618595555552,389.5326569696968
6500,1.0,316.8710231843478,215.6872636904761,289.2413352426929,58.17921669913418,1205.0064300144295,1325.5070730158727,395.39273484848474
6600,1.0,315.48383779492707,218.0467755714285,292.4054922508093,59.040460417857126,1222.8444876190472,1345.1289363809522,401.2458474999999
6700,1.0,314.07994113648164,220.36550930952373,295.5149648779988,59.900679253138506,1240.6613178643572,1364.7274496507932,407.0919949242423
6800,1.0,312.6593332090117,222.64293990476193,298.56904908778586,60.75987320497836,1258.4569207503607,1384.302612825397,412.93117712121216
6900,1.0,311.222014012517,224.8785423571429,301.5670408436944,61.61804227337663,1276.2312962770563,1403.8544259047624,418.7633940909091
7000,1.0,309.7679835469975,227.07179166666666,304.50823610924857,62.475186458333326,1293.984444444444,1423.3828888888886,424.58864583333326
