RPM,Throttle,Torque (Nm),Power (kW),Horsepower
1800,0.8,152.10123939775121,28.670408177632655,38.44764406280361
1800,0.9,156.22886192362654,29.448446693877564,39.49101071996454
1800,1.0,159.17215812204353,30.003244956734697,40.2350073176005
1900,0.1,123.8524464102066,24.642615932190477,33.04628661953933
1900,0.2,127.79085703761223,25.426231785469387,34.09713260757595
1900,0.3,131.93950310776196,26.251677666503404,35.204073577180374
1900,0.4,135.88492158325906,27.03668785404081,36.25678939793591
1900,0.5,139.22065727479838,27.700390961088438,37.146829772144876
1900,0.6,143.7337114457045,28.59834222356463,38.35100204313347
1900,0.7,148.35188333798266,29.517208499918365,39.583221804905946
1900,0.8,152.83690611652293,30.40958242536055,40.779914745018836
1900,0.9,156.9855521866726,31.235028306394558,41.886855714623245
1900,1.0,159.92884838508968,31.820648694965996,42.672185456572336
2000,0.1,124.27021851636812,26.027093703401356,34.90290157355686
2000,0.2,128.2646919285056,26.86369425850342,36.02480120491272
2000,0.3,132.46940078338707,27.74432642176872,37.20574818528727
2000,0.4,136.49891343598176,28.588265578231294,38.337489041479536
2000,0.5,140.00283748171634,29.32212571428572,39.32161152512501
2000,0.6,144.48786026025655,30.261466688435377,40.5812883041912
2000,0.7,149.07800076016892,31.222823466666682,41.87048875776677
2000,0.8,153.5630235387091,32.16216444081633,43.13016553683295
2000,0.9,157.73269315313325,33.03545800272111,44.30127129237106
2000,1.0,160.67598935155024,33.65190051700681,45.12793417863323
2100,0.1,125.34217962156232,27.564184947882275,36.96417453115498
2100,0.2,129.41307027168213,28.45942055908114,38.164705054420196
2100,0.3,133.69525282405715,29.401121686432163,39.42754685051919
2100,0.4,137.82953104485352,30.31029695247667,40.64677075563453
2100,0.5,141.52009627091365,31.121894634601585,41.73514098779882
2100,0.6,145.99948459872707,32.106963577028,43.056139971876085
2100,0.7,150.5845188776682,33.11526527753051,44.40829459237027
2100,0.8,155.0920794591157,34.10652962211056,45.737601746158724
2100,0.9,159.30383137740566,35.03274224407753,46.97967311797979
2100,1.0,162.26191800898053,35.68325947020818,47.852030937653446
2200,0.1,126.41787898742473,29.12458852668178,39.05670983865063
2200,0.2,130.56595876681962,30.08023750385488,40.3382560062423
2200,0.3,134.92639757928927,31.084810490098263,41.685410339410296
2200,0.4,139.16649960634987,32.061659871201805,42.99538671208503
2200,0.5,143.04559127718332,32.95533843688587,44.19382920327996
2200,0.6,147.51928824062622,33.986004227966745,45.5759745580887
2200,0.7,152.09916472060655,35.041132023582776,46.99092399568563
2200,0.8,156.62949075953608,36.08484421708239,48.39056486131472
2200,0.9,160.88375005546834,37.06495519879062,49.70491511169455
2200,1.0,163.85677651851583,37.74989132577475,50.62342942976364
2300,0.1,127.49751896254314,30.708470617479897,41.18073034394514
2300,0.2,131.72357151719555,31.72633835136573,42.54571322430699
2300,0.3,136.1630610695577,32.795613546558926,43.97963463398005
2300,0.4,140.5100612562457,33.84261217518562,45.38368268095161
2300,0.5,144.579593345911,34.82278110411272,46.69811063981859
2300,0.6,149.04754116463442,35.898910627480234,48.1412238533998
2300,0.7,153.6222074822128,37.00074388150145,49.61880633163664
2300,0.8,158.17553010002013,38.0974363893919,51.08949495694233
2300,0.9,162.47272832057578,39.13243994371352,52.47745734707458
2300,1.0,165.4608462885119,39.85214440201666,53.44259675743148
2400,0.1,128.58130602506796,32.31600691178676,43.33647165319399
2400,0.2,132.88612699554187,33.397926426655566,44.787349371939875
2400,0.3,137.40547392799948,34.53376219641816,46.310529967035215
2400,0.4,141.86046307186203,35.65342308971263,47.812019699225736
2400,0.5,146.12237884993914,36.72455935360267,49.248436842701715
