Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
5700,1.0,331.624,197.947,265.452,166.831,12.897,14.065,11.912,0.229,1.923,234.547,39.851,0.825,0.908,0.008,724.751,15.011,16.512,0.141,66.516,3062.984
5800,1.0,329.995,200.43,268.782,169.661,13.115,14.056,11.853,0.233,1.97,235.571,40.527,0.839,0.923,0.008,727.913,15.077,16.584,0.141,66.483,3063.196
5900,1.0,328.343,202.866,272.047,172.488,13.334,14.048,11.794,0.236,2.018,236.621,41.202,0.853,0.939,0.008,731.158,15.144,16.658,0.142,66.45,3063.409
6000,1.0,326.669,205.252,275.248,175.311,13.552,14.04,11.734,0.24,2.066,237.698,41.876,0.867,0.954,0.008,734.486,15.213,16.734,0.143,66.418,3063.622
6100,1.0,324.972,207.589,278.382,178.131,13.77,14.032,11.673,0.243,2.115,238.802,42.55,0.881,0.969,0.008,737.899,15.283,16.812,0.143,66.385,3063.836
6200,1.0,323.253,209.876,281.448,180.948,13.988,14.023,11.611,0.247,2.165,239.935,43.223,0.895,0.985,0.008,741.4,15.356,16.891,0.144,66.352,3064.05
6300,1.0,321.511,212.112,284.447,183.762,14.205,14.015,11.549,0.25,2.216,241.097,43.895,0.909,1.0,0.009,744.99,15.43,16.973,0.145,66.32,3064.263
6400,1.0,319.747,214.296,287.376,186.572,14.423,14.007,11.485,0.254,2.267,242.289,44.566,0.923,1.015,0.009,748.673,15.506,17.057,0.145,66.287,3064.478
6500,1.0,317.96,216.428,290.235,189.379,14.64,13.998,11.421,0.257,2.32,243.511,45.237,0.937,1.031,0.009,752.45,15.585,17.143,0.146,66.255,3064.692
6600,1.0,316.15,218.507,293.023,192.182,14.856,13.99,11.356,0.261,2.373,244.765,45.906,0.951,1.046,0.009,756.323,15.665,17.231,0.147,66.222,3064.907
6700,1.0,314.318,220.533,295.739,194.982,15.073,13.982,11.29,0.264,2.427,246.05,46.575,0.965,1.061,0.009,760.295,15.747,17.322,0.148,66.19,3065.121
6800,1.0,312.464,222.504,298.382,197.779,15.289,13.973,11.224,0.268,2.482,247.369,47.243,0.978,1.076,0.009,764.37,15.832,17.415,0.148,66.157,3065.336
6900,1.0,310.587,224.42,300.952,200.572,15.505,13.965,11.156,0.271,2.537,248.721,47.91,0.992,1.092,0.009,768.548,15.918,17.51,0.149,66.124,3065.552
7000,1.0,308.687,226.279,303.446,203.362,15.721,13.957,11.088,0.275,2.594,250.108,48.577,1.006,1.107,0.009,772.834,16.007,17.608,0.15,66.092,3065.767
