Engine Speed (RPM),Throttle,Torque (Nm),Power (kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s)
2200,1.0,310.2372319186732,71.47352730215403,95.84757896240666,59.277813094753895,4.073236658747606,12.586301275530102,0.17107593966739945,0.32260034337281046,0.0024439419952485657
2300,1.0,313.19291226887447,75.43421567942212,101.15894956792943,62.330332453645966,4.304729614534064,13.301614508910257,0.18510337342496472,0.33921269362528417,0.0025828377687204403
2400,1.0,316.16348527920593,79.46055061491985,106.55835365817062,65.4139886220276,4.540746121201417,14.030905514512378,0.19979282933286235,0.3559944959021911,0.002724447672720853
2500,1.0,319.14939190785213,83.55311541794651,112.04657346378586,68.52878159989886,4.781355771840145,14.774389334986047,0.21516100973280652,0.3729457502035313,0.0028688134631040894
2600,1.0,321.44345828612893,87.51984861500398,117.36605030617625,71.53014762891513,5.016491172516666,15.500957723076498,0.23075859393576661,0.3892797149872933,0.003009894703510002
2700,1.0,323.7473520159131,91.53740724411072,122.75368517567851,74.55153017831756,5.2554742644473285,16.239415477142245,0.24700729042902442,0.40572261321533376,0.0031532845586684
2800,1.0,326.63326534648877,95.77387557085362,128.43488278542605,77.71747648606464,5.507190794080545,17.017219553708884,0.2643451581158662,0.42295225298538586,0.0033043144764483296
2900,1.0,330.1097006569296,100.25012034471179,134.43762590741693,81.0413308990804,5.772791316670614,17.837925168512196,0.2828667745168601,0.4410412565936349,0.0034636747900023716
3000,1.0,333.6079010873427,104.80601312355063,140.54717876351128,84.40299429504788,6.043895044400134,18.675635687196415,0.30219475222000675,0.45933602337441015,0.0036263370266400832
3100,1.0,336.3180661558417,109.17935114348755,146.41192165528358,87.76799377774633,6.304764331167262,19.48172178330684,0.3190210751570635,0.4776489457292317,0.0037828585987003606
3200,1.0,339.0304959380394,113.61020964073053,152.35380077775062,91.16857818557581,6.569856032051756,20.300855139039925,0.3363766288410499,0.4961555275405486,0.003941913619231057
3300,1.0,341.5267752945214,118.02318090964287,158.2716927318974,94.54970208747426,6.8352311614850505,21.120864288988805,0.35406497416492566,0.5145562018365946,0.004101138696891033
3400,1.0,343.8053313176006,122.41091435500293,164.15574020715704,97.90636135334519,7.100529521006135,21.940636219908956,0.37206774690072153,0.5328237352563003,0.004260317712603685
3500,1.0,346.0840645401482,126.84643471311294,170.10387098802727,101.29193337088502,7.369633916903852,22.7721688032329,0.39059059759590403,0.5512486169844082,0.004421780350142315
3600,1.0,347.7755480417906,131.1082928191504,175.81911685266905,104.54628597700433,7.630892964950245,23.579459261696257,0.409015862921333,0.5689593794666903,0.004578535778970151
3700,1.0,349.46406653079646,135.40442843983433,181.58032962164208,107.82065510350985,7.89530510486075,24.396492774019716,0.4279255366834525,0.586779075393251,0.004737183062916454
3800,1.0,351.00203116143484,139.67601764896887,187.30862511049713,111.07278365180854,8.159796627423086,25.213771578737333,0.447156855182785,0.6044777341595023,0.004895877976453856
3900,1.0,352.388301437187,143.91786487078681,192.99703593736012,114.29933553516928,8.424122429460962,26.03053830703437,0.46669638259213714,0.6220372001913974,0.005054473457676582
4000,1.0,353.7703435597309,148.18697498469172,198.722006904749,117.54145582327483,8.69132326406942,26.856188885974504,0.48671410278788735,0.6396813922355093,0.005214793958441656
4100,1.0,354.1861851185831,152.07019134677645,203.92948582655407,120.6167717748289,8.938150947403324,27.61888642747627,0.5041117134335473,0.6564178055773001,0.0053628905684419996
4200,1.0,354.5904590644646,155.9570293721936,209.14182147889045,123.69875989984507,9.186551993274893,28.38644565921942,0.5217961532180139,0.6731905300671842,0.00551193119596494
4300,1.0,354.7586563497054,159.74603036393896,214.2229555078529,126.71569433360614,9.43119831596229,29.142402796323474,0.5394645436730429,0.6896092208631627,0.0056587189895773785
4400,1.0,354.6894950369236,163.4291870806426,219.16215002588436,129.66257094601553,9.671691949070263,29.88552812262711,0.557089456266447,0.7056466446041664,0.0058030151694421625
4500,1.0,354.6067742210609,167.10450552090893,224.09083324206583,132.60944755842502,9.91324269704904,30.63191993388153,0.574968076428844,0.7216840683451702,0.005947945618229428
4600,1.0,354.28518618476704,170.66302652304262,228.86288851365606,135.47959417602078,10.150108946628668,31.363836645082582,0.5927663624831141,0.7373039138831065,0.006090065367977206
4700,1.0,353.94907087033613,174.20766212395168,233.61632315547553,138.34640470688547,10.387770472502703,32.09821076003335,0.6108009037831589,0.752905603846996,0.0062326622835016275
4800,1.0,353.5984525606525,177.73796814164237,238.35054150965868,141.20987915101924,10.62623255305364,32.835058588935745,0.6290729671407753,0.7684891382368393,0.0063757395318321895
4900,1.0,353.2333029062483,181.25347440420953,243.06491306529458,144.07001750842184,10.865500513478882,33.57439658664974,0.6475838306033412,0.7840545170526362,0.006519300308087335
5000,1.0,352.85372630434784,184.7537790582538,247.75889892809775,146.92681977909353,11.105579726310925,34.31624135430076,0.6663347835786554,0.7996017402943867,0.006663347835786561
5100,1.0,352.459687617708,188.23841010207863,252.4318661333666,149.78028596303417,11.346475611944468,35.0606096409084,0.6853271269614457,0.8151308079620907,0.0068078853671666864
5200,1.0,352.05115918092025,191.7068981308953,257.0831851989103,152.6304160602437,11.588193639170592,35.80751834503713,0.7045621732615719,0.8306417200557481,0.006952916183502362
5300,1.0,351.6281406424647,195.158787740679,261.71224541787177,155.47721007072226,11.83073932571811,36.55698451646896,0.7240412467339481,0.8461344765753592,0.0070984435954308716
5400,1.0,351.19066211367624,198.59364073901892,266.3184591645483,158.3206679944698,12.074118238802189,37.30902535789876,0.7437656835102148,0.8616090775209243,0.0072444709432813205
5500,1.0,350.73923514557873,202.0112974841597,270.9016123558196,161.16078983148628,12.318335995680373,38.06365822665235,0.7637368317321831,0.8770655228924427,0.00739100159740823
5600,1.0,350.27384384756147,205.41131045421602,275.46110485495166,163.99757558177177,12.563398264216135,38.82090063642785,0.7839560516870867,0.8925038126899143,0.007538038958529687
5700,1.0,349.794040910293,208.79297394672014,279.9959902993462,166.83102524532623,12.809310763450055,39.58077025906067,0.8044247159446637,0.9079239469133398,0.00768558645807004
5800,1.0,349.2998408222116,212.1558440065812,284.5056733354195,169.66113882214955,13.056079264178715,40.34328492631223,0.8251442094960947,0.9233259255627188,0.007833647558507236
5900,1.0,348.791261436219,215.4994793643207,288.9895622110532,172.48791631224196,13.303709589541544,41.108462631683366,0.8461159298948422,0.9387097486380512,0.007982225753724934
6000,1.0,348.26831276050007,218.82343456929988,293.4470595671008,175.3113577156033,13.552207615615595,41.876321532252184,0.8673412873993981,0.9540754161393378,0.008131324569369365
6100,1.0,346.94271295444923,221.62371124095606,297.2022924419034,178.13146303223365,13.770212046400248,42.54995522337676,0.8812935709696158,0.9694229280665775,0.008262127227840156
6200,1.0,345.6004113419893,224.38538075891822,300.9057522707703,180.94823226213293,13.987958585508114,43.22279202922007,0.8952293494725193,0.9847522844197713,0.008392775151304875
6300,1.0,344.24140789202545,227.1079183999489,304.5567353882489,183.76166540530116,14.205447232939175,43.89483194978205,0.9091486229081072,1.0000634851989179,0.008523268339763511
6400,1.0,342.8656955632728,229.7907947412336,308.1545318266501,186.5717624617384,14.422677988693446,44.56607498506274,0.9230513912763805,1.0153565304040186,0.008653606793216074
6500,1.0,341.4732698259276,232.4334817745242,311.6984335152494,189.37852343144456,14.639650852770917,45.236521135062134,0.9369376545773386,1.0306314200350726,0.008783790511662557
6600,1.0,340.0641422577928,235.03546243460718,315.18774705817344,192.18194831441983,14.8563658251716,45.906170399780244,0.9508074128109824,1.0458881540920806,0.008913819495102969
6700,1.0,338.6383128619625,237.5962120201643,318.62176881936387,194.98203711066395,15.072822905895483,46.57502277921704,0.9646606659773108,1.061126732575042,0.009043693743537298
6800,1.0,337.1957816415361,240.11520583001067,321.9997951629411,197.77878982017705,15.289022094942567,47.24307827337253,0.9784974140763242,1.0763471554839568,0.009173413256965548
6900,1.0,335.7365485996203,242.5919191630967,325.321122453207,200.57220644295924,15.504963392312867,47.91033688224675,0.9923176571080233,1.0915494228188258,0.00930297803538773
7000,1.0,334.26061373932873,245.0258273185078,328.5850470546444,203.36228697901024,15.720646798006356,48.57679860583964,1.0061213950724066,1.1067335345796476,0.009432388078803823
